Id,Weekly_Sales
1_1_2012-11-02,26442.0532001
1_1_2012-11-09,26442.0532001
1_1_2012-11-16,26442.0532001
1_1_2012-11-23,26442.0532001
1_1_2012-11-30,25884.3007609
1_1_2012-12-07,26442.0532001
1_1_2012-12-14,39134.8864045
1_1_2012-12-21,39134.8864045
1_1_2012-12-28,29680.8433922
1_1_2013-01-04,20731.3281571
1_1_2013-01-11,22135.7511892
1_1_2013-01-18,20731.3281571
1_1_2013-01-25,22135.7511892
1_1_2013-02-01,25884.3007609
1_1_2013-02-08,26586.1617691
1_1_2013-02-15,26586.1617691
1_1_2013-02-22,25884.3007609
1_1_2013-03-01,38764.7293923
1_1_2013-03-08,25884.3007609
1_1_2013-03-15,25884.3007609
1_1_2013-03-22,25884.3007609
1_1_2013-03-29,25013.7394755
1_1_2013-04-05,28669.579958
1_1_2013-04-12,26586.1617691
1_1_2013-04-19,25884.3007609
1_1_2013-04-26,22135.7511892
1_1_2013-05-03,22135.7511892
1_1_2013-05-10,22135.7511892
1_1_2013-05-17,22135.7511892
1_1_2013-05-24,16843.7583627
1_1_2013-05-31,16843.7583627
1_1_2013-06-07,16994.4917094
1_1_2013-06-14,16843.7583627
1_1_2013-06-21,16843.7583627
1_1_2013-06-28,15949.0974665
1_1_2013-07-05,16843.7583627
1_1_2013-07-12,16603.4582951
1_1_2013-07-19,16843.7583627
1_1_2013-07-26,16603.4582951
1_2_2012-11-02,48848.22242
1_2_2012-11-09,48277.3351604
1_2_2012-11-16,45312.5366882
1_2_2012-11-23,44897.0442388
1_2_2012-11-30,44941.304374
1_2_2012-12-07,48277.3351604
1_2_2012-12-14,49097.2734753
1_2_2012-12-21,65074.5690569
1_2_2012-12-28,43539.94
1_2_2013-01-04,47742.283695
1_2_2013-01-11,44481.38
1_2_2013-01-18,44248.1343097
1_2_2013-01-25,44377.4956444
1_2_2013-02-01,50181.5177161
1_2_2013-02-08,48277.3351604
1_2_2013-02-15,45312.5366882
1_2_2013-02-22,44941.304374
1_2_2013-03-01,50181.5177161
1_2_2013-03-08,48277.3351604
1_2_2013-03-15,45312.5366882
1_2_2013-03-22,45135.6607305
1_2_2013-03-29,44941.304374
1_2_2013-04-05,48848.22242
1_2_2013-04-12,45312.5366882
1_2_2013-04-19,45135.6607305
1_2_2013-04-26,45135.6607305
1_2_2013-05-03,48687.7209772
1_2_2013-05-10,46459.3771785
1_2_2013-05-17,45312.5366882
1_2_2013-05-24,45135.6607305
1_2_2013-05-31,45585.5281388
1_2_2013-06-07,47742.283695
1_2_2013-06-14,45312.5366882
1_2_2013-06-21,45443.9815977
1_2_2013-06-28,45443.9815977
1_2_2013-07-05,48277.3351604
1_2_2013-07-12,45585.5281388
1_2_2013-07-19,45135.6607305
1_2_2013-07-26,45443.9815977
1_3_2012-11-02,10979.7710784
1_3_2012-11-09,10979.7710784
1_3_2012-11-16,10979.7710784
1_3_2012-11-23,10868.7440988
1_3_2012-11-30,10682.2412532
1_3_2012-12-07,11019.1061991
1_3_2012-12-14,11008.6281447
1_3_2012-12-21,10877.6622947
1_3_2012-12-28,10990.6790126
1_3_2013-01-04,12799.02919
1_3_2013-01-11,12066.6821897
1_3_2013-01-18,12046.5532006
1_3_2013-01-25,10990.6790126
1_3_2013-02-01,11071.7086566
1_3_2013-02-08,10916.1531852
1_3_2013-02-15,10990.6790126
1_3_2013-02-22,10740.4362492
1_3_2013-03-01,11430.4708147
1_3_2013-03-08,11157.08
1_3_2013-03-15,10326.8280782
1_3_2013-03-22,9612.69306564
1_3_2013-03-29,9744.76546774
1_3_2013-04-05,9954.78665273
1_3_2013-04-12,9731.22461928
1_3_2013-04-19,9502.20392443
1_3_2013-04-26,9612.69306564
1_3_2013-05-03,9542.73218785
1_3_2013-05-10,9502.20392443
1_3_2013-05-17,9224.60198145
1_3_2013-05-24,8404.76988451
1_3_2013-05-31,8306.62011806
1_3_2013-06-07,9314.05878516
1_3_2013-06-14,8663.87874358
1_3_2013-06-21,8331.69446534
1_3_2013-06-28,7690.7247975
1_3_2013-07-05,8874.14906223
1_3_2013-07-12,10432.686735
1_3_2013-07-19,17355.7374369
1_3_2013-07-26,23637.5368829
1_4_2012-11-02,38682.5484123
1_4_2012-11-09,38308.3048629
1_4_2012-11-16,36468.9640207
1_4_2012-11-23,46564.14
1_4_2012-11-30,44936.96
1_4_2012-12-07,38820.7591051
1_4_2012-12-14,38489.63
1_4_2012-12-21,47092.7673055
1_4_2012-12-28,39860.8492491
1_4_2013-01-04,39607.3430148
1_4_2013-01-11,36597.3784483
1_4_2013-01-18,35855.2128062
1_4_2013-01-25,35189.2199536
1_4_2013-02-01,38682.5484123
1_4_2013-02-08,38523.4590863
1_4_2013-02-15,35832.8989802
1_4_2013-02-22,35802.2220259
1_4_2013-03-01,38682.5484123
1_4_2013-03-08,38523.2032988
1_4_2013-03-15,35944.010971
1_4_2013-03-22,36091.1607815
1_4_2013-03-29,35855.2128062
1_4_2013-04-05,40009.4650293
1_4_2013-04-12,36330.6398678
1_4_2013-04-19,36415.3591565
1_4_2013-04-26,36159.5994155
1_4_2013-05-03,40009.4650293
1_4_2013-05-10,37485.1523799
1_4_2013-05-17,36431.7931379
1_4_2013-05-24,36419.9885437
1_4_2013-05-31,36521.1609421
1_4_2013-06-07,40468.648236
1_4_2013-06-14,36578.9443767
1_4_2013-06-21,36661.1980338
1_4_2013-06-28,36750.1070493
1_4_2013-07-05,41305.8475305
1_4_2013-07-12,36661.1980338
1_4_2013-07-19,36578.9443767
1_4_2013-07-26,36419.9885437
1_5_2012-11-02,26855.4256733
1_5_2012-11-09,26415.8547697
1_5_2012-11-16,29987.5852319
1_5_2012-11-23,73921.1276155
1_5_2012-11-30,70158.86
1_5_2012-12-07,59589.48
1_5_2012-12-14,40410.5779607
1_5_2012-12-21,71720.9267522
1_5_2012-12-28,43448.572192
1_5_2013-01-04,21250.7651539
1_5_2013-01-11,21740.2087875
1_5_2013-01-18,20594.0003066
1_5_2013-01-25,22118.7
1_5_2013-02-01,25550.5058559
1_5_2013-02-08,27968.157873
1_5_2013-02-15,34175.8845224
1_5_2013-02-22,35632.5958194
1_5_2013-03-01,34600.1152618
1_5_2013-03-08,34600.1152618
1_5_2013-03-15,27973.0601361
1_5_2013-03-22,27720.7689036
1_5_2013-03-29,36103.3546673
1_5_2013-04-05,28065.241768
1_5_2013-04-12,23679.7769451
1_5_2013-04-19,18098.9224981
1_5_2013-04-26,26088.0800037
1_5_2013-05-03,20231.7348263
1_5_2013-05-10,22364.7603822
1_5_2013-05-17,19540.9274806
1_5_2013-05-24,19263.2968469
1_5_2013-05-31,18913.0732314
1_5_2013-06-07,21053.2082754
1_5_2013-06-14,18983.3098436
1_5_2013-06-21,18309.6107689
1_5_2013-06-28,18004.7292705
1_5_2013-07-05,20076.7421022
1_5_2013-07-12,18707.5725114
1_5_2013-07-19,18913.0732314
1_5_2013-07-26,18029.5708379
1_6_2012-11-02,4321.32787016
1_6_2012-11-09,4269.20770407
1_6_2012-11-16,4242.71455001
1_6_2012-11-23,19130.4318869
1_6_2012-11-30,18668.1234678
1_6_2012-12-07,9824.47100209
1_6_2012-12-14,10253.8366678
1_6_2012-12-21,20454.9273249
1_6_2012-12-28,7495.82681667
1_6_2013-01-04,3071.84457587
1_6_2013-01-11,2530.47640549
1_6_2013-01-18,2722.5802068
1_6_2013-01-25,3082.89382902
1_6_2013-02-01,4103.44174081
1_6_2013-02-08,5118.57697757
