absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.112976,0.026635,0.163201,59.251875,1.000000,1.000000
0.031553,0.001512,0.038881,62.395718,1.000000,2.000000
0.055005,0.004534,0.067332,95.524042,1.000000,3.000000
0.027697,0.001067,0.032663,77.270889,1.000000,4.000000
0.081364,0.010017,0.100086,86.212485,1.000000,5.000000
0.099578,0.012883,0.113502,87.112240,1.000000,6.000000
0.108351,0.015720,0.125378,79.940115,1.000000,7.000000
0.020507,0.000629,0.025078,86.504224,1.000000,8.000000
0.087095,0.011006,0.104909,77.367771,1.000000,9.000000
0.049606,0.003003,0.054798,69.399852,1.000000,10.000000
0.069092,0.006281,0.079253,83.723472,1.000000,11.000000
0.057214,0.003819,0.061799,72.237174,1.000000,12.000000
0.018460,0.000516,0.022705,85.357097,1.000000,13.000000
0.061869,0.005260,0.072523,91.513078,1.000000,14.000000
0.083790,0.009277,0.096319,97.279592,1.000000,16.000000
0.042402,0.002289,0.047843,86.208475,1.000000,17.000000
0.211847,0.056267,0.237206,90.642392,1.000000,18.000000
0.026754,0.000950,0.030829,71.673267,1.000000,19.000000
0.044866,0.002760,0.052537,75.194279,1.000000,20.000000
0.041304,0.002178,0.046668,66.854184,1.000000,21.000000
0.060695,0.004801,0.069290,82.725981,1.000000,22.000000
0.067938,0.006945,0.083336,73.516467,1.000000,23.000000
0.081163,0.009112,0.095459,83.859986,1.000000,24.000000
0.057157,0.004606,0.067867,65.069908,1.000000,25.000000
0.054548,0.004044,0.063594,84.002549,1.000000,26.000000
0.028922,0.001168,0.034178,87.795083,1.000000,27.000000
0.010313,0.000150,0.012260,85.591293,1.000000,28.000000
0.036140,0.001737,0.041683,92.312341,1.000000,29.000000
0.035996,0.001751,0.041847,59.081948,1.000000,30.000000
0.049949,0.003372,0.058072,93.296995,1.000000,31.000000
0.081491,0.010070,0.100351,88.198374,1.000000,32.000000
0.061605,0.005346,0.073119,83.982540,1.000000,33.000000
0.054420,0.004360,0.066030,75.268541,1.000000,34.000000
0.034211,0.001421,0.037700,76.494022,1.000000,35.000000
0.044865,0.002940,0.054224,90.815119,1.000000,36.000000
0.023719,0.000768,0.027705,68.173994,1.000000,37.000000
0.053002,0.004272,0.065359,75.080294,1.000000,38.000000
0.017508,0.000480,0.021912,89.725525,1.000000,40.000000
0.036624,0.001835,0.042838,86.264852,1.000000,41.000000
0.040408,0.002044,0.045210,50.812497,1.000000,42.000000
0.030839,0.001439,0.037939,85.544748,1.000000,44.000000
0.001764,0.000003,0.001859,59.654286,1.000000,45.000000
0.033547,0.001594,0.039919,85.258794,1.000000,46.000000
0.007028,0.000080,0.008939,98.448538,1.000000,47.000000
0.062416,0.005122,0.071571,69.468521,1.000000,48.000000
0.069022,0.006123,0.078247,64.053185,1.000000,49.000000
0.043333,0.002447,0.049471,70.743005,1.000000,52.000000
0.007016,0.000070,0.008347,62.039812,1.000000,54.000000
0.068476,0.006616,0.081337,92.466932,1.000000,55.000000
0.057019,0.004890,0.069931,94.869877,1.000000,56.000000
0.097579,0.013231,0.115026,50.521505,1.000000,58.000000
0.034566,0.001468,0.038320,92.159558,1.000000,59.000000
0.013069,0.000257,0.016042,84.294157,1.000000,60.000000
0.104297,0.014368,0.119866,74.773386,1.000000,67.000000
0.057735,0.004369,0.066096,75.873489,1.000000,71.000000
0.102310,0.015125,0.122984,83.798053,1.000000,72.000000
0.057431,0.004413,0.066430,63.208433,1.000000,74.000000
0.033546,0.001433,0.037859,93.328736,1.000000,79.000000
0.027632,0.001146,0.033847,91.804421,1.000000,80.000000
0.021087,0.000639,0.025284,73.177173,1.000000,81.000000
0.051176,0.003385,0.058182,78.348235,1.000000,82.000000
0.037070,0.001976,0.044449,84.146738,1.000000,83.000000
0.039943,0.002390,0.048886,62.735126,1.000000,85.000000
0.051181,0.004040,0.063557,90.752088,1.000000,87.000000
0.026709,0.001008,0.031757,91.048626,1.000000,90.000000
0.023605,0.000794,0.028181,90.223910,1.000000,91.000000
