Id,Weekly_Sales
1_1_2012-11-02,30319.4988175
1_1_2012-11-09,21821.8246747
1_1_2012-11-16,24978.3474421
1_1_2012-11-23,23010.1946015
1_1_2012-11-30,25645.3682086
1_1_2012-12-07,29254.6239461
1_1_2012-12-14,38908.3299852
1_1_2012-12-21,40492.1113315
1_1_2012-12-28,26668.4668611
1_1_2013-01-04,19036.7960342
1_1_2013-01-11,17675.5697016
1_1_2013-01-18,20254.3000117
1_1_2013-01-25,18688.0377696
1_1_2013-02-01,23721.9952785
1_1_2013-02-08,30643.4750263
1_1_2013-02-15,35317.7849104
1_1_2013-02-22,25312.3189861
1_1_2013-03-01,26039.296329
1_1_2013-03-08,24285.5180338
1_1_2013-03-15,24528.0473274
1_1_2013-03-22,21248.7497836
1_1_2013-03-29,26552.6215278
1_1_2013-04-05,25568.6208291
1_1_2013-04-12,23341.4860759
1_1_2013-04-19,19909.015085
1_1_2013-04-26,20141.3393886
1_1_2013-05-03,22061.3095213
1_1_2013-05-10,21889.7245348
1_1_2013-05-17,21583.7237398
1_1_2013-05-24,16521.0859162
1_1_2013-05-31,16320.3199097
1_1_2013-06-07,17275.8610874
1_1_2013-06-14,17273.4356865
1_1_2013-06-21,16508.1104772
1_1_2013-06-28,15991.3699694
1_1_2013-07-05,17391.5154174
1_1_2013-07-12,16638.8641597
1_1_2013-07-19,16576.279808
1_1_2013-07-26,16441.0286641
1_2_2012-11-02,47355.0448993
1_2_2012-11-09,46771.0474007
1_2_2012-11-16,43075.9907406
1_2_2012-11-23,43939.2126883
1_2_2012-11-30,44008.6302855
1_2_2012-12-07,47978.7593596
1_2_2012-12-14,49444.4946061
1_2_2012-12-21,58763.7729944
1_2_2012-12-28,46550.785583
1_2_2013-01-04,46925.4645473
1_2_2013-01-11,46012.0670385
1_2_2013-01-18,42847.7025342
1_2_2013-01-25,42541.2998134
1_2_2013-02-01,51954.1184177
1_2_2013-02-08,50716.1265218
1_2_2013-02-15,45962.8028471
1_2_2013-02-22,46033.9274604
1_2_2013-03-01,51018.777693
1_2_2013-03-08,48921.5584348
1_2_2013-03-15,45266.7755265
1_2_2013-03-22,45308.4776345
1_2_2013-03-29,44495.5764407
1_2_2013-04-05,49257.6949234
1_2_2013-04-12,44961.7633698
1_2_2013-04-19,45111.4583481
1_2_2013-04-26,44967.7064255
1_2_2013-05-03,49057.491645
1_2_2013-05-10,47647.5082946
1_2_2013-05-17,45060.4125889
1_2_2013-05-24,45470.7648823
1_2_2013-05-31,47369.6134432
1_2_2013-06-07,48859.8245485
1_2_2013-06-14,45324.2279468
1_2_2013-06-21,45497.312957
1_2_2013-06-28,45443.9363791
1_2_2013-07-05,48984.0179813
1_2_2013-07-12,45000.3974801
1_2_2013-07-19,45163.9724097
1_2_2013-07-26,44938.5616548
1_3_2012-11-02,9635.52352043
1_3_2012-11-09,9967.12403201
1_3_2012-11-16,9930.41317865
1_3_2012-11-23,9881.71915223
1_3_2012-11-30,10075.7439633
1_3_2012-12-07,11794.5311903
1_3_2012-12-14,12597.0949757
1_3_2012-12-21,12157.2469726
1_3_2012-12-28,10113.3297744
1_3_2013-01-04,13992.2879399
1_3_2013-01-11,13728.3068651
1_3_2013-01-18,12145.2748004
1_3_2013-01-25,11396.4374058
1_3_2013-02-01,11961.8537753
1_3_2013-02-08,12007.5490278
1_3_2013-02-15,10780.9350464
1_3_2013-02-22,10842.8802322
1_3_2013-03-01,11261.5034714
1_3_2013-03-08,11543.340781
1_3_2013-03-15,9431.27472225
1_3_2013-03-22,8598.00845149
1_3_2013-03-29,9416.74872836
1_3_2013-04-05,10174.0994542
1_3_2013-04-12,9770.36204486
1_3_2013-04-19,8825.22259068
1_3_2013-04-26,9290.04770749
1_3_2013-05-03,10092.743019
1_3_2013-05-10,10019.3241677
1_3_2013-05-17,8493.74310743
1_3_2013-05-24,8179.13969602
1_3_2013-05-31,13799.0226524
1_3_2013-06-07,8390.1644418
1_3_2013-06-14,8125.86837913
1_3_2013-06-21,7967.98596635
1_3_2013-06-28,7241.34096325
1_3_2013-07-05,8441.24779331
1_3_2013-07-12,11817.7274538
1_3_2013-07-19,19354.587003
1_3_2013-07-26,23799.2831402
1_4_2012-11-02,39751.8827971
1_4_2012-11-09,39163.4896742
1_4_2012-11-16,36552.7163199
1_4_2012-11-23,44512.3832927
1_4_2012-11-30,42268.5083895
1_4_2012-12-07,41640.0379546
1_4_2012-12-14,38784.3623346
1_4_2012-12-21,45341.545418
1_4_2012-12-28,40682.042536
1_4_2013-01-04,40823.56843
1_4_2013-01-11,36028.3158898
1_4_2013-01-18,35069.6137684
1_4_2013-01-25,34180.4749056
1_4_2013-02-01,40180.5442366
1_4_2013-02-08,39517.458778
1_4_2013-02-15,36291.9140831
1_4_2013-02-22,35262.6217717
1_4_2013-03-01,38782.2661608
1_4_2013-03-08,39248.3140332
1_4_2013-03-15,35856.2824164
1_4_2013-03-22,35404.4751044
1_4_2013-03-29,35340.6576658
1_4_2013-04-05,39657.1716779
1_4_2013-04-12,36252.6870642
1_4_2013-04-19,35536.8319056
1_4_2013-04-26,35256.9617374
1_4_2013-05-03,39967.6041102
1_4_2013-05-10,38345.8219557
1_4_2013-05-17,35608.6173159
1_4_2013-05-24,37512.7003597
1_4_2013-05-31,37445.6972495
1_4_2013-06-07,40970.1717375
1_4_2013-06-14,37976.7001706
1_4_2013-06-21,37488.0788768
1_4_2013-06-28,37426.77269
1_4_2013-07-05,41479.694629
1_4_2013-07-12,37602.910901
1_4_2013-07-19,37551.0744278
1_4_2013-07-26,37033.0218283
1_5_2012-11-02,29708.4472147
1_5_2012-11-09,28699.1568039
1_5_2012-11-16,28262.8265545
1_5_2012-11-23,63951.6346665
1_5_2012-11-30,61911.110701
1_5_2012-12-07,55528.8966811
1_5_2012-12-14,40167.8404388
1_5_2012-12-21,67896.1021807
1_5_2012-12-28,42798.98525
1_5_2013-01-04,22569.5469626
1_5_2013-01-11,20232.4486657
1_5_2013-01-18,20418.8190655
1_5_2013-01-25,20979.5777112
1_5_2013-02-01,27817.734641
1_5_2013-02-08,34007.3966139
1_5_2013-02-15,36616.2449481
1_5_2013-02-22,31139.3362359
1_5_2013-03-01,29430.9560968
1_5_2013-03-08,27611.8717617
1_5_2013-03-15,25785.3663461
1_5_2013-03-22,26786.7290732
1_5_2013-03-29,31517.7451471
1_5_2013-04-05,26075.6931363
1_5_2013-04-12,23777.254053
1_5_2013-04-19,19363.1132354
1_5_2013-04-26,28927.2719622
1_5_2013-05-03,20142.139199
1_5_2013-05-10,23008.2728808
1_5_2013-05-17,19338.3372125
1_5_2013-05-24,18929.8912548
1_5_2013-05-31,18672.0957659
1_5_2013-06-07,21989.0751272
1_5_2013-06-14,20750.4120724
1_5_2013-06-21,19534.6166654
1_5_2013-06-28,17982.7727724
1_5_2013-07-05,20103.7540912
1_5_2013-07-12,18679.4291868
1_5_2013-07-19,19263.776971
1_5_2013-07-26,17580.7587405
1_6_2012-11-02,5215.85812239
1_6_2012-11-09,3928.90851173
1_6_2012-11-16,3886.72661412
1_6_2012-11-23,16901.4907193
1_6_2012-11-30,14698.1106908
1_6_2012-12-07,13441.3675887
1_6_2012-12-14,8839.1450696
1_6_2012-12-21,21170.1686396
1_6_2012-12-28,9568.40783706
1_6_2013-01-04,3037.28432731
1_6_2013-01-11,2451.35965383
1_6_2013-01-18,2447.41942023
1_6_2013-01-25,2341.9884708
1_6_2013-02-01,3946.33328064
1_6_2013-02-08,5481.00380439
1_6_2013-02-15,4309.39023538
1_6_2013-02-22,4123.05689535
1_6_2013-03-01,4844.13335503
1_6_2013-03-08,4478.78415797
1_6_2013-03-15,4046.86549409
1_6_2013-03-22,3422.9272832
1_6_2013-03-29,4115.06925083
1_6_2013-04-05,3892.62936594
1_6_2013-04-12,3613.37774048
1_6_2013-04-19,3727.15977623
1_6_2013-04-26,3921.59144558
1_6_2013-05-03,4396.53035948
1_6_2013-05-10,4236.35725518
1_6_2013-05-17,4731.71190816
1_6_2013-05-24,4278.47252867
1_6_2013-05-31,4651.92281778
1_6_2013-06-07,4525.8013682
1_6_2013-06-14,3966.12707108
1_6_2013-06-21,3231.50222404
1_6_2013-06-28,2835.18359703
1_6_2013-07-05,3778.71766584
1_6_2013-07-12,2787.44442256
1_6_2013-07-19,3552.53953009
1_6_2013-07-26,2906.16808517
1_7_2012-11-02,23391.5398858
1_7_2012-11-09,22817.8269015
1_7_2012-11-16,23796.6004477
1_7_2012-11-23,61691.6356224
1_7_2012-11-30,58503.5967519
1_7_2012-12-07,64130.6361337
1_7_2012-12-14,56662.4078993
1_7_2012-12-21,120191.103474
1_7_2012-12-28,55031.1708671
1_7_2013-01-04,12492.7351932
1_7_2013-01-11,10202.0490045
1_7_2013-01-18,10773.2412685
1_7_2013-01-25,11081.4660989
1_7_2013-02-01,16201.7115908
1_7_2013-02-08,19805.0902623
1_7_2013-02-15,18767.6253784
1_7_2013-02-22,17229.2424472
1_7_2013-03-01,17682.6162716
1_7_2013-03-08,17732.6399595
1_7_2013-03-15,18806.4206005
1_7_2013-03-22,18309.9060797
1_7_2013-03-29,17172.2651843
1_7_2013-04-05,19223.1172997
1_7_2013-04-12,19980.9243598
1_7_2013-04-19,19816.1910417
1_7_2013-04-26,18305.7472994
1_7_2013-05-03,19880.7786839
1_7_2013-05-10,19805.8039666
1_7_2013-05-17,19639.8732678
1_7_2013-05-24,28074.3825871
1_7_2013-05-31,29322.3229244
1_7_2013-06-07,28954.7756247
1_7_2013-06-14,27422.7286988
1_7_2013-06-21,25511.2216246
1_7_2013-06-28,24940.1427698
1_7_2013-07-05,24861.0838787
1_7_2013-07-12,19467.2344093
1_7_2013-07-19,16825.2192384
1_7_2013-07-26,16394.6384619
1_8_2012-11-02,40680.3059068
1_8_2012-11-09,38474.8326191
1_8_2012-11-16,37329.3019153
1_8_2012-11-23,37203.2912738
1_8_2012-11-30,37584.5185662
1_8_2012-12-07,40153.394627
1_8_2012-12-14,37357.4674982
1_8_2012-12-21,37381.8454965
1_8_2012-12-28,37691.9824844
1_8_2013-01-04,38877.5857835
1_8_2013-01-11,35026.2776488
1_8_2013-01-18,35250.840218
1_8_2013-01-25,35102.3113438
1_8_2013-02-01,40072.6536905
1_8_2013-02-08,39005.5998844
1_8_2013-02-15,36871.5917559
1_8_2013-02-22,36626.2443084
1_8_2013-03-01,40201.3786388
1_8_2013-03-08,38825.6184252
1_8_2013-03-15,36428.565647
1_8_2013-03-22,35941.997913
1_8_2013-03-29,37264.6929202
1_8_2013-04-05,41156.6617056
1_8_2013-04-12,37351.7056467
1_8_2013-04-19,37780.1504981
1_8_2013-04-26,37899.6781804
1_8_2013-05-03,40506.047007
1_8_2013-05-10,37615.4667255
1_8_2013-05-17,37741.6225927
1_8_2013-05-24,37432.0317159
1_8_2013-05-31,37871.9663285
1_8_2013-06-07,40094.167488
1_8_2013-06-14,37849.0696251
1_8_2013-06-21,37749.4151766
1_8_2013-06-28,37822.8408665
1_8_2013-07-05,41000.0534993
1_8_2013-07-12,37330.4185908
1_8_2013-07-19,37424.6149079
1_8_2013-07-26,37136.4475913
1_9_2012-11-02,45889.7006305
1_9_2012-11-09,37808.6877452
1_9_2012-11-16,35816.3185371
1_9_2012-11-23,39342.9072986
1_9_2012-11-30,40434.2447625
1_9_2012-12-07,40005.9259748
1_9_2012-12-14,28451.6481919
1_9_2012-12-21,39514.9676718
1_9_2012-12-28,32197.1160574
1_9_2013-01-04,18227.3639533
1_9_2013-01-11,17145.177597
1_9_2013-01-18,14755.3556372
1_9_2013-01-25,14449.0326997
1_9_2013-02-01,19803.6723306
1_9_2013-02-08,20542.4151823
1_9_2013-02-15,20762.6856606
1_9_2013-02-22,22233.1205485
1_9_2013-03-01,29904.0335038
1_9_2013-03-08,28522.2227883
1_9_2013-03-15,30107.3229702
1_9_2013-03-22,30599.356935
1_9_2013-03-29,31333.7389772
1_9_2013-04-05,30127.047805
1_9_2013-04-12,29186.4590918
1_9_2013-04-19,28123.6142458
1_9_2013-04-26,28418.1292324
1_9_2013-05-03,31033.5088877
1_9_2013-05-10,28454.2149221
1_9_2013-05-17,28405.0125113
1_9_2013-05-24,28784.5121035
1_9_2013-05-31,34902.665451
1_9_2013-06-07,30619.8844545
1_9_2013-06-14,29676.2835777
1_9_2013-06-21,28164.9779113
1_9_2013-06-28,26591.4842647
