absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.055488,0.006593,0.081195,89.913921,1,1
0.012988,0.000276,0.016624,93.125435,1,2
0.040241,0.007822,0.088444,92.277115,1,3
0.013657,0.000298,0.017265,93.649846,1,4
0.051158,0.004122,0.064203,94.32645,1,5
0.06076,0.007259,0.085201,92.737829,1,6
0.042258,0.003101,0.055686,96.042916,1,7
0.009343,0.000132,0.011508,97.157938,1,8
0.046741,0.003571,0.059755,92.657321,1,9
0.024805,0.000989,0.031446,89.92335,1,10
0.033345,0.00194,0.044051,94.971556,1,11
0.024511,0.000897,0.029956,93.476838,1,12
0.009937,0.000223,0.014926,93.672155,1,13
0.03124,0.001982,0.044516,96.802293,1,14
0.03291,0.001831,0.042792,99.463051,1,16
0.02696,0.001305,0.036121,92.138654,1,17
0.091201,0.023158,0.152176,96.148702,1,18
0.013934,0.000293,0.017129,91.255377,1,19
0.025271,0.001039,0.032234,90.662039,1,20
0.020416,0.00066,0.025682,89.96189,1,21
0.030919,0.001796,0.042375,93.539405,1,22
0.020723,0.000732,0.027065,97.206671,1,23
0.045868,0.003457,0.058796,93.876963,1,24
0.023769,0.000854,0.029232,93.519652,1,25
0.020583,0.000898,0.029959,96.449561,1,26
0.01765,0.000997,0.031569,89.587413,1,27
0.004596,0.000038,0.006166,96.355003,1,28
0.020415,0.001054,0.032466,95.336088,1,29
0.015154,0.000361,0.01901,91.555492,1,30
0.025995,0.002393,0.048917,95.243855,1,31
0.042944,0.004502,0.067096,94.724103,1,32
0.028277,0.001311,0.036208,96.072388,1,33
0.027308,0.001432,0.037838,91.878585,1,34
0.01623,0.000363,0.019052,93.997023,1,35
0.026248,0.00124,0.035218,96.125452,1,36
0.012855,0.000296,0.017191,87.746652,1,37
0.027319,0.001322,0.03636,92.28768,1,38
0.009639,0.000132,0.011491,97.174446,1,40
0.01982,0.001009,0.031767,92.447067,1,41
0.020081,0.000577,0.024026,86.107886,1,42
0.018573,0.000808,0.028426,91.885041,1,44
0.000992,0.000001,0.001162,84.243629,1,45
